t,d,48.955897,01.075453,12/30/2012,11:11:05,140.0092,0
t,d,48.956018,01.076406,12/30/2012,11:11:32,141.9318,0
t,d,48.956167,01.077552,12/30/2012,11:11:57,143.3737,0
t,d,48.956313,01.078522,12/30/2012,11:12:20,140.9705,0
t,d,48.956540,01.079330,12/30/2012,11:12:41,140.4899,0
t,d,48.956858,01.080116,12/30/2012,11:13:02,145.7771,0
t,d,48.957155,01.080798,12/30/2012,11:13:23,142.8931,0
t,d,48.957302,01.081588,12/30/2012,11:13:44,140.4899,0
t,d,48.957600,01.082096,12/30/2012,11:14:03,138.5673,0
t,d,48.957699,01.082494,12/30/2012,11:14:21,140.4899,0
t,d,48.957435,01.082854,12/30/2012,11:14:36,144.8158,0
t,d,48.957301,01.083004,12/30/2012,11:14:44,143.3737,0
t,d,48.957105,01.083029,12/30/2012,11:14:50,144.8158,0
t,d,48.956672,01.083126,12/30/2012,11:15:09,143.8544,0
t,d,48.956089,01.083023,12/30/2012,11:15:34,146.2578,0
t,d,48.955677,01.082965,12/30/2012,11:15:53,150.5836,0
t,d,48.955254,01.082925,12/30/2012,11:16:13,150.5836,0
t,d,48.954880,01.082924,12/30/2012,11:16:29,149.6223,0
t,d,48.954411,01.082995,12/30/2012,11:16:44,146.2578,0
t,d,48.953960,01.083262,12/30/2012,11:17:00,145.2964,0
t,d,48.953851,01.083365,12/30/2012,11:17:08,144.8158,0
t,d,48.953881,01.083421,12/30/2012,11:17:13,144.8158,0
t,d,48.953962,01.083477,12/30/2012,11:17:23,145.7771,0
t,d,48.954023,01.083410,12/30/2012,11:17:30,147.219,0
t,d,48.954066,01.083318,12/30/2012,11:17:48,147.219,0
t,d,48.954123,01.083461,12/30/2012,11:18:16,155.871,0
t,d,48.954154,01.083516,12/30/2012,11:19:17,160.1969,0
